鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
萬華區,租賃房屋,臺北市萬華區大理街４１巷５號,0.0,,,,1141121,土地0建物0車位0,全,1,透天厝,,磚造,,24.0,4,3,3,有,無,有,18000,750,,0.0,0,102室,RPUOMLLLJIKGFBA67CC,分租套房,無,1141123~1151204,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
松山區,租賃房屋,臺北市松山區民生東路５段１３７巷６弄１之１號４樓,0.0,,,,1141121,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0710728,142.58,3,1,2,有,無,有,35100,246,,0.0,0,續租案件；,RPSOMLLLJIKGFDA67CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管
內湖區,租賃房屋+車位,臺北市內湖區安康路３２巷２４弄７號,0.0,,,,1141121,土地0建物1車位3,見其他登記事項,2,廠辦,工業用,鋼骨造,0920630,394.57,0,0,3,有,無,無,200000,507,坡道平面,37.08,0,租金總額含稅；,RPPNMLNLJIKGFCA37CC,,無,1141201~1191231,無,,
大同區,租賃房屋,臺北市大同區重慶北路三段５號,0.0,,,,1141122,土地0建物1車位0,一層,15,店面(店鋪),（第十九組）一般零售業甲組（Ｇ３）,鋼筋混凝土造,1140718,75.56,0,0,0,無,有,無,66000,873,,0.0,0,租金總額含稅；管理費；,RPTNMLOLJIKGFBA77CC,,有,1150101~1171231,有,,
大同區,租賃房屋,臺北市大同區承德路三段４０號,0.0,,,,1141124,土地0建物1車位0,一層,7,店面(店鋪),商業用,鋼筋混凝土造,0711123,416.71,0,0,0,無,無,無,210000,504,,0.0,0,租金總額含稅；租賃期間有約定不同租金前三年租金為-210000後三年租金為-222000；,RPOOMLOLJIKGFBA37CC,,無,1141124~1210229,有,,
大同區,租賃房屋,臺北市大同區歸綏街１８１號７樓之７,0.0,,,,1141124,土地0建物1車位0,七層,10,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0680925,18.45,1,0,1,有,有,有,13000,705,,0.0,0,,RPPOMLOLJIKGFBA47CC,獨立套房,有,1141127~1151126,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141122,土地0建物0車位0,全,4,透天厝,,加強磚造,,22.21,7,0,7,有,無,有,16000,720,,0.0,0,本案為透天建物之分租套房，本間為307室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPSOMLOLJIKGFBA77CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141122,土地0建物0車位0,全,4,透天厝,,加強磚造,,22.21,7,0,7,有,無,有,16000,720,,0.0,0,本案為透天建物之分租套房，本間為307室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPTOMLOLJIKGFBA87CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區寧夏路２３號,0.0,,,,1141123,土地0建物0車位0,全,4,透天厝,,加強磚造,0510822,24.79,18,5,13,有,無,有,20000,807,,0.0,0,本案為分租套房，本間為304室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPUOMLOLJIKGFBA97CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
大同區,租賃房屋,臺北市大同區寧夏路２３號,0.0,,,,1141123,土地0建物0車位0,全,4,透天厝,,加強磚造,0510822,24.79,18,5,13,有,無,有,20000,807,,0.0,0,本案為分租套房，本間為304室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPVOMLOLJIKGFBA08CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租
萬華區,租賃房屋,臺北市萬華區貴陽街二段２２１號４樓之１,0.0,,,,1141124,土地0建物1車位0,四層,11,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,0890930,101.91,2,2,2,有,有,有,28000,275,,0.0,0,管理費：2402元，租金不含管理費續租案件；,RPWOMLOLJIKGFBA18CC,整棟(戶)出租,有,1150101~1151231,有,冷氣、熱水器、洗衣機,社會住宅代管
內湖區,租賃房屋+車位,臺北市內湖區成功路二段１１５巷２６號六樓,0.0,,,,1141123,土地0建物1車位1,六層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041118,119.03999999999999,2,2,1,有,有,無,34000,286,坡道平面,41.64,0,租金總額含管理費；,RPPNMLOLJIKGFCA47CC,整棟(戶)出租,有,1141201~1171130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,
內湖區,租賃房屋,臺北市內湖區文湖街２之１號９樓,0.0,,,,1141121,土地0建物1車位0,九層,9,廠辦,工業用,鋼筋混凝土造,0900501,138.67000000000002,2,1,1,有,有,無,50000,361,,0.0,0,租賃建物部分範圍B室權利範圍約2分之1，含共有部分面積租金總額含稅；管理費；租賃期間有約定不同租金114年12月1日-117年11月30日租金含稅50000元117年12月1日-118年11月30日租金含稅52500元；,RPRNMLOLJIKGFCA67CC,,有,1141201~1181130,有,冷氣,
內湖區,租賃房屋,臺北市內湖區康寧路一段１８１巷５號,0.0,,,,1141121,土地0建物0車位0,二層,2,公寓(5樓含以下無電梯),住家用,加強磚造,,19.1,2,3,2,有,無,有,15000,785,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPTOMLOLJIKGFCA97CC,分租套房,無,1141125~1151124,無,冷氣、冰箱,
大安區,租賃房屋,臺北市大安區忠孝東路四段２５０號１１樓之１,0.0,,,,1141121,土地0建物1車位0,十一層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0640407,102.82,0,0,0,無,有,無,69000,671,,0.0,0,租金總額含稅；租賃期間有約定不同租金優惠租金裝潢期114/11/21-114/12/31租金46000含稅。115/01/01-116/12/31月租金69000含稅。117/01/01-118/12/31月租金72450含稅。119/01/01-121/12/31月租金77000含稅，如當年度行政院主計處躉售物價指數高於5%雙方再做調度調整。；,RPUNMLOLJIKGFFA28CC,,有,1141121~1211231,有,,
文山區,租賃房屋,臺北市文山區景文街１號１１樓之２,0.0,,,,1141121,土地0建物1車位0,十一層,13,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0931105,39.82,1,0,1,有,有,有,14300,359,,0.0,0,管理費1330元，租金不含管理費，由承租人負擔。,RPSNMLPLJIKGFAA67CC,獨立套房,有,1141130~1151129,有,冷氣、熱水器、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區木新路二段１８０號３樓,0.0,,,,1141121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0681231,84.4,3,2,1,有,無,有,19500,231,,0.0,0,,RPTNMLPLJIKGFAA77CC,整棟(戶)出租,無,1141201~1171130,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租
文山區,租賃房屋,臺北市文山區辛亥路四段１２８之１號１２樓,0.0,,,,1141121,土地0建物1車位0,十二層,18,住宅大樓(11層含以上有電梯),集合住宅,鋼骨造,1060602,172.95,3,2,2,有,有,有,31200,180,,0.0,0,,RPUNMLPLJIKGFAA87CC,整棟(戶)出租,有,1141124~1150719,有,冷氣、熱水器、洗衣機、瓦斯或天然氣,社會住宅包租轉租
