鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,Rental type,Residential Manager,Rental period,elevator,equipment,Rental residential services
板橋區,租賃房屋+車位,新北市板橋區新崑路１１０號６樓,0.0,,,,1141121,土地0建物1車位1,六層,13,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1051124,135.19,3,2,2,有,有,有,30000,222,坡道平面,24.71,0,租金總額含管理費；,RPXOMLLLJIKGFAF38CC,整棟(戶)出租,有,1141201~1161130,有,冷氣、熱水器、瓦斯或天然氣,
新莊區,租賃房屋,新北市新莊區中和街１７５巷６號四樓,0.0,,,,1141121,土地0建物1車位0,四層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0810125,51.95,1,1,1,有,有,有,14000,269,,0.0,0,續租案件；,RPWOMLLLJIKGFBF38CC,獨立套房,有,1141201~1151130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅包租轉租
中和區,租賃房屋,新北市中和區景平路７３６巷８號３樓,0.0,,,,1141121,土地0建物1車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0740206,91.43,3,2,2,有,無,有,25000,273,,0.0,0,續租案件；,RPSPMLLLJIKGFHF68CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新店區,租賃房屋,新北市新店區新生街 ２０ 巷 ４ 號 ５ 樓,0.0,,,,1141122,土地0建物0車位0,五層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0771020,22.0,5,2,2,有,無,有,16500,750,,0.0,0,租金總額含網路費；,RPPNMLMLJIKGFCF77CC,分租套房,無,1141122~1151121,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
淡水區,租賃房屋,新北市淡水區新民街２２６巷３號３樓,0.0,,,,1141121,土地0建物0車位0,三層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0770823,22.91,5,0,5,有,無,有,8000,349,,0.0,0,租金總額含網路費；,RPSNMLMLJIKGFEF28CC,分租套房,無,1141124~1151231,無,冷氣、熱水器、洗衣機、電視機、冰箱、網路,
永和區,租賃房屋,新北市永和區中正路３１０號４樓,0.0,,,,1141121,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0620410,12.0,4,1,1,有,無,有,13300,1108,,0.0,0,租金總額含管理費；網路費；其他垃圾代收及每月清潔；租賃建物部分範圍，且未計入共有部分面積；,RPPNMLMLJIKGFHF28CC,分租雅房,無,1141125~1151124,無,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣、網路,一般轉租
新莊區,租賃房屋,新北市新莊區自強街２６巷４弄３號二樓,0.0,,,,1141121,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0641128,46.5,2,1,1,有,無,無,19000,409,,0.0,0,管理費元，水電費 瓦斯費 由承租人負擔,RPQNMLNLJIKGFBF87CC,整棟(戶)出租,無,1141130~1171129,無,冷氣、熱水器,社會住宅包租轉租
土城區,租賃房屋,新北市土城區延吉街１１１巷１０號,0.0,,,,1141121,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),見使用執照,鋼筋混凝土造,0690421,92.4,2,2,1,有,無,有,21000,227,,0.0,0,多人共同承租2；,RPXNMLOLJIKGFAF58CC,整棟(戶)出租,無,1141125~1151124,無,熱水器、瓦斯或天然氣,社會住宅代管
土城區,租賃房屋,新北市土城區中央路二段２７０巷１６號６樓,19.67,住,,,1141122,土地1建物1車位0,六層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0841019,109.60999999999999,3,2,2,有,有,無,24000,219,,0.0,0,,RPQOMLOLJIKGFAF97CC,整棟(戶)出租,有,1141126~1161130,有,冷氣、瓦斯或天然氣,
土城區,租賃房屋,新北市土城區中華路一段３９之２號十九樓,0.0,,,,1141121,土地0建物1車位0,十九層,19,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840121,100.27000000000001,3,1,2,有,有,有,28000,279,,0.0,0,,RPSOMLOLJIKGFAF18CC,整棟(戶)出租,有,1141201~1151130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,社會住宅代管
板橋區,租賃房屋,新北市板橋區中山路一段１５８巷１５號１樓,0.0,,,,1141121,土地0建物1車位0,一層,5,店面(店鋪),工業用,鋼筋混凝土造,0701204,93.58,0,0,0,無,無,無,68000,727,,0.0,0,租金總額含稅；,RPTOMLOLJIKGFAF28CC,,無,1150115~1200114,無,冷氣,
土城區,租賃房屋,新北市土城區中央路一段３１８巷１３弄５號二樓,0.0,,,,1141124,土地0建物1車位0,二層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,72.72,3,2,2,有,無,有,11000,151,,0.0,0,水、電、瓦斯由承租人負擔續租案件；,RPUOMLOLJIKGFAF38CC,整棟(戶)出租,無,1141205~1151204,無,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
新莊區,租賃房屋,新北市新莊區新莊路３５９巷２之５號４樓,0.0,,,,1141121,土地0建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680325,87.61,3,2,1,有,無,有,31800,363,,0.0,0,多人共同承租2；,RPUNMLOLJIKGFBF38CC,分層出租,無,1141121~1151209,無,冷氣、熱水器、洗衣機、電視機、冰箱,一般轉租
新莊區,租賃房屋,新北市新莊區民安路２３４號４樓,0.0,,,,1141122,土地0建物0車位0,四層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0690514,18.32,4,0,4,有,無,有,14000,764,,0.0,0,本案為分租套房，本間為403室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPVNMLOLJIKGFBF48CC,分租套房,無,1141122~1151121,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般代管
五股區,租賃房屋+車位,新北市五股區芳洲五路８０號十五樓,31.43,住,,,1141123,土地1建物1車位2,十五層,15,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1021014,208.08999999999997,3,2,2,有,有,有,43000,207,坡道平面,38.58,0,,RPWNMLOLJIKGFBF58CC,整棟(戶)出租,有,1141215~1161214,有,冷氣、熱水器、洗衣機、電視機、瓦斯或天然氣,
新莊區,租賃房屋,新北市新莊區中和街１５５巷３２號十四樓,0.0,,,,1141122,土地0建物1車位0,十四層,18,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820528,33.85,1,1,1,有,有,有,15000,443,,0.0,0,管理費每個月563元不包含在租金內,RPOOMLOLJIKGFBF87CC,獨立套房,有,1141130~1151129,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅代管
