鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號,出租型態,有無管理員,租賃期間,有無電梯,附屬設備,租賃住宅服務,城市,坪數,每坪租金,交易年,建築年,屋齡,樓層
萬華區,租賃房屋,臺北市萬華區大理街４１巷５號,0.0,,,,1141121,土地0建物0車位0,全,1.0,透天厝,,磚造,,24.0,4,3,3,有,無,有,18000,750.0,,0.0,0,102室,RPUOMLLLJIKGFBA67CC,分租套房,無,1141123~1151204,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租,台北市,7.26,2479.3388429752067,114,,,1.0
松山區,租賃房屋,臺北市松山區民生東路５段１３７巷６弄１之１號４樓,0.0,,,,1141121,土地0建物1車位0,四層,4.0,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,710728.0,142.58,3,1,2,有,無,有,35100,246.0,,0.0,0,續租案件；,RPSOMLLLJIKGFDA67CC,整棟(戶)出租,無,1141201~1151130,無,冷氣、熱水器、瓦斯或天然氣,社會住宅代管,台北市,43.13045,813.810196740354,114,71.0,43.0,4.0
大同區,租賃房屋,臺北市大同區歸綏街１８１號７樓之７,0.0,,,,1141124,土地0建物1車位0,七層,10.0,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,680925.0,18.45,1,0,1,有,有,有,13000,705.0,,0.0,0,,RPPOMLOLJIKGFBA47CC,獨立套房,有,1141127~1151126,有,冷氣、熱水器、洗衣機、電視機、冰箱、瓦斯或天然氣,社會住宅包租轉租,台北市,5.581124999999999,2329.279491142019,114,68.0,46.0,7.0
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141122,土地0建物0車位0,全,4.0,透天厝,,加強磚造,,22.21,7,0,7,有,無,有,16000,720.0,,0.0,0,本案為透天建物之分租套房，本間為307室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPSOMLOLJIKGFBA77CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租,台北市,6.718525,2381.475100561507,114,,,1.0
萬華區,租賃房屋,臺北市萬華區漢口街二段４１之２號,0.0,,,,1141122,土地0建物0車位0,全,4.0,透天厝,,加強磚造,,22.21,7,0,7,有,無,有,16000,720.0,,0.0,0,本案為透天建物之分租套房，本間為307室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPTOMLOLJIKGFBA87CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租,台北市,6.718525,2381.475100561507,114,,,1.0
大同區,租賃房屋,臺北市大同區寧夏路２３號,0.0,,,,1141123,土地0建物0車位0,全,4.0,透天厝,,加強磚造,510822.0,24.79,18,5,13,有,無,有,20000,807.0,,0.0,0,本案為分租套房，本間為304室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPUOMLOLJIKGFBA97CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租,台北市,7.498975,2667.0311609253267,114,51.0,63.0,1.0
大同區,租賃房屋,臺北市大同區寧夏路２３號,0.0,,,,1141123,土地0建物0車位0,全,4.0,透天厝,,加強磚造,510822.0,24.79,18,5,13,有,無,有,20000,807.0,,0.0,0,本案為分租套房，本間為304室，租金包含水費、垃圾處理費，包租業者另免費附贈網路及第四台。租金總額含水費；其他垃圾處理費；租賃建物部分範圍，且未計入共有部分面積；,RPVOMLOLJIKGFBA08CC,分租套房,無,1141123~1151122,無,冷氣、熱水器、洗衣機、電視機、冰箱、有線電視、網路,一般轉租,台北市,7.498975,2667.0311609253267,114,51.0,63.0,1.0
萬華區,租賃房屋,臺北市萬華區貴陽街二段２２１號４樓之１,0.0,,,,1141124,土地0建物1車位0,四層,11.0,住宅大樓(11層含以上有電梯),見使用執照,鋼筋混凝土造,890930.0,101.91,2,2,2,有,有,有,28000,275.0,,0.0,0,管理費：2402元，租金不含管理費續租案件；,RPWOMLOLJIKGFBA18CC,整棟(戶)出租,有,1150101~1151231,有,冷氣、熱水器、洗衣機,社會住宅代管,台北市,30.827775,908.2718425186379,114,89.0,25.0,4.0
內湖區,租賃房屋+車位,臺北市內湖區成功路二段１１５巷２６號六樓,0.0,,,,1141123,土地0建物1車位1,六層,11.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1041118.0,119.04,2,2,1,有,有,無,34000,286.0,坡道平面,41.64,0,租金總額含管理費；,RPPNMLOLJIKGFCA47CC,整棟(戶)出租,有,1141201~1171130,有,冷氣、熱水器、洗衣機、冰箱、瓦斯或天然氣,,台北市,36.0096,944.1926597351818,114,104.0,10.0,6.0
內湖區,租賃房屋,臺北市內湖區康寧路一段１８１巷５號,0.0,,,,1141121,土地0建物0車位0,二層,2.0,公寓(5樓含以下無電梯),住家用,加強磚造,,19.1,2,3,2,有,無,有,15000,785.0,,0.0,0,租賃建物部分範圍，且未計入共有部分面積；,RPTOMLOLJIKGFCA97CC,分租套房,無,1141125~1151124,無,冷氣、冰箱,,台北市,5.77775,2596.1663277227294,114,,,2.0
